column,missing_percentage
Object Number,0.0
Is Highlight,0.0
Is Timeline Work,0.0
Is Public Domain,0.0
Object ID,0.0
Gallery Number,0.94
Department,0.0
AccessionYear,0.01
Object Name,0.0
Title,0.49
Culture,0.28
Period,0.44
Dynasty,1.0
Reign,1.0
Portfolio,1.0
Artist Role,0.82
Artist Display Name,0.82
Artist Display Bio,0.82
Artist Nationality,0.82
Artist Begin Date,0.82
Artist End Date,0.82
Artist Gender,0.99
Object Date,0.1
Object Begin Date,0.0
Object End Date,0.0
Medium,0.0
Dimensions,0.04
Credit Line,0.0
Geography Type,0.73
City,0.88
State,0.99
County,1.0
Country,0.74
Region,0.88
Subregion,0.94
Locale,1.0
Locus,1.0
Excavation,1.0
River,1.0
Classification,0.0
Rights and Reproduction,0.99
Link Resource,0.0
Metadata Date,1.0
Repository,0.0
Tags,0.56
